COUNTRY,CHAR_VALUE_ALT_MKT_SEG,CHAR_VALUE_ALT_CATEGORY,CHAR_VALUE_ALT_SUBCAT
CA,CONVENIENCE,BARS,ALL OTHER WS
CA,CONVENIENCE,BARS,BARS PRODUCT RESERVE
CA,CONVENIENCE,BARS,FIBER PLUS
CA,CONVENIENCE,BARS,HEALTH & WELLNESS BARS
CA,CONVENIENCE,BARS,HEALTH & WELLNESS BARS RESERVE
CA,CONVENIENCE,BARS,KASHI WS
CA,CONVENIENCE,BARS,NUTRI-GRAIN
CA,CONVENIENCE,BARS,RK TREATS
CA,CONVENIENCE,BARS,SPECIAL K WS
CA,CONVENIENCE,COOKIES,ALL OTHER COOKIES
CA,CONVENIENCE,COOKIES,CHIPS DELUXE
CA,CONVENIENCE,COOKIES,COOKIES
CA,CONVENIENCE,COOKIES,COOKIES PRODUCT RESERVE
CA,CONVENIENCE,COOKIES,FUDGE SHOPPE
CA,CONVENIENCE,COOKIES,OTG COOKIES
CA,CONVENIENCE,COOKIES,REGIONAL COOKIES
CA,CONVENIENCE,COOKIES,SANDIES
CA,CONVENIENCE,COOKIES,SIMPLY MADE
CA,CONVENIENCE,CRACKERS,ALL OTHER CRACKERS
CA,CONVENIENCE,FRUIT SNACKS,FRUIT SNACKS PRODUCT RESERVE
CA,CONVENIENCE,FRUIT SNACKS,LICENSED FFS
CA,CONVENIENCE,FRUIT SNACKS,NON LICENSED FFS
CA,CONVENIENCE,FRUIT SNACKS,PRIVATE LABEL FFS
CA,CONVENIENCE,FRUIT SNACKS,PURE FFS
CA,CONVENIENCE,FRUIT SNACKS,SIFCO FFS
CA,CONVENIENCE,INGREDIENTS,CROUTETTES
CA,CONVENIENCE,INGREDIENTS,CRUMBS
CA,CONVENIENCE,INGREDIENTS,CRUSTS
CA,CONVENIENCE,INGREDIENTS,INGREDIENTS PRODUCT RESERVE
CA,CONVENIENCE,INGREDIENTS,SYRUP
CA,CONVENIENCE,OTHER CONVENIENCE,BEAR NAKED TRAIL MIX
CA,CONVENIENCE,OTHER CONVENIENCE,OTHER CONVENIENCE PRODUCT
CA,CONVENIENCE,OTHER CONVENIENCE,OTHER CONVENIENCE PRODUCT RES
CA,CONVENIENCE,OTHER CONVENIENCE,PURE CLUSTERS
CA,CONVENIENCE,TOASTER PASTRIES,TOASTER PASTRIES
CA,CONVENIENCE,TOASTER PASTRIES,TOASTER PASTRIES PRODUCT RES
CA,CRACKERS,CRACKERS,ALL OTHER CRACKERS
CA,CRACKERS,CRACKERS,CHEEZ-IT
CA,CRACKERS,CRACKERS,CLUB CRACKERS
CA,CRACKERS,CRACKERS,CRACKERS PRODUCT RESERVE
CA,CRACKERS,CRACKERS,CRUMBS
CA,CRACKERS,CRACKERS,OTG CRACKERS
CA,CRACKERS,CRACKERS,SPECIAL K CRACKERS
CA,CRACKERS,CRACKERS,TOWN HOUSE
CA,CRACKERS,SALTY SNACKS,KASHI SALTY
CA,FROZEN BREAKFAST,HANDHELD,DONUTS
CA,FROZEN BREAKFAST,HANDHELD,HH/ENTREES
CA,FROZEN BREAKFAST,SYRUP CARRIERS,FRENCH TOAST
CA,FROZEN BREAKFAST,SYRUP CARRIERS,FROZEN BREAKFAST PRODUCT RES
CA,FROZEN BREAKFAST,SYRUP CARRIERS,PANCAKES
CA,FROZEN BREAKFAST,SYRUP CARRIERS,SWEET GOODS
CA,FROZEN BREAKFAST,SYRUP CARRIERS,WAFFLES
CA,NON FOOD,NON FOOD,NON FOOD PRODUCTS
CA,SALTY SNACKS,SALTY SNACKS,ALL OTHER SALTY
CA,SALTY SNACKS,SALTY SNACKS,OTHER SALTY SNACKS
CA,SALTY SNACKS,SALTY SNACKS,PRINGLES CRISPS
CA,SALTY SNACKS,SALTY SNACKS,PRINGLES MINGLES
CA,SALTY SNACKS,SALTY SNACKS,PRINGLES SNACK STACKS
CA,SALTY SNACKS,SALTY SNACKS,SALTY SNACKS PRODUCT RESERVE
CA,SALTY SNACKS,SALTY SNACKS,STIX
CA,SALTY SNACKS,SALTY SNACKS,TORTILLA
CA,VEGGIE,FROZEN MEALS,ENTREES
CA,VEGGIE,FROZEN MEALS,FROZEN MEALS PRODUCT RESERVE
CA,VEGGIE,FROZEN MEALS,PIZZA
CA,VEGGIE,FROZEN MEALS,SOUPS
CA,VEGGIE,OTHER CONVENIENCE,PILAF
CA,VEGGIE,PLANT PROTEIN ADJACENCY,BURGERS
CA,VEGGIE,PLANT PROTEIN ADJACENCY,DOGS & DINNER SAUSAGE
CA,VEGGIE,PLANT PROTEIN ADJACENCY,PPA FRESH BREAKFAST
