T179_PRODH_BRAND,T179T_VTEXT_BRAND_DESC,BRAND_ABBREV
1010100320,RX GRANOLA," RX GRNLA"
1010100322,MOUTH OFF,MTH OFF
2010100052,POP-TARTS,PT
2010100053,POP-TARTS MINI CRISPS,PT MINI CRSP
2010100054,POP-TARTS RAINBOW PALLETS,PT RB PAL
2010999999,TOASTER PASTRIES PRODUCT RESERVE,TSTRPR
2020200087,CONES,CONES
2020999999,COOKIES PRODUCT RESERVE,CKPR
2030100088,ALL BRAN CRACKERS,AB
2030100089,AUSTIN CRACKERS OTG,ASTN
2030100090,BLUE GINGER,BLU GNGR
2030100091,CADDIES CHEEZ-IT OTG,CHZIT CD
2030100092,CARR'S CRACKERS,CARR
2030100093,CHEEZ-IT,CHZIT
2030100094,CLUB CRACKERS,CLUB CRCKR
2030100095,GRAHAMS,GRHMS
2030100096,GRIPZ CRACKERS OTG,GRPZ
2030100097,KASHI HEART TO HEART CRACKERS,KASHI H2H
2030100098,KELLOGG CRACKER BRAND,KLG
2030100099,KLG CRACKER PACKS OTG,KLG
2030100100,KLG LICENSED CRACKERS,KLG
2030100101,KLG LICENSED CRACKERS OTG,KLG
2030100102,KRISPY,KRSP
2030100103,PRIVATE LABEL CRACKERS,PL
2030100104,RIGHT BITES CHEEZ-IT OTG,RGHT BT CI
2030100105,SPECIAL K CRACKERS,SPK
2030100106,SPECIAL K CRACKERS OTG,SPK
2030100107,SUNSHINE CRACKERS OTHER,SUN
2030100108,KASHI CRACKERS,KASHI
2030100109,KASHI CRACKERS OTG,KASHI OTG
2030100110,TOASTED,TSTD
2030100111,TOWN HOUSE,TH
2030100112,MIXED CRACKER BRANDS,MXD
2030100113,WHEATABLES,WHEATBL
2030100114,ZESTA SALTINES,ZSTA
2030100115,OTHER CRACKERS,OCRCKR
2030100189,BEANATURAL,BN
2030100190,KASHI PITA CRACKERS,KASHI PITA
2030100209,CADDIES MIXED CRACKERS OTG,MXD CRCKR CD
2030100212,AUSTIN CRACKERS,ASTN
2030100236,BEAR NAKED CRACKERS,BNKD
2030100238,KASHI CRISP CRACKERS,KASHI CRSP CRCKR
2030100270,CHEEZ-IT SANDWICH CRACKERS,CHZIT SLTYSNKS
2030100319,PURE CRACKERS,PURE CRCKR
2030100323,CLUB CRACKERS OTG,CLUB CRACKERS OTG
2030200325,KELLOGG GRAHAM CRUMBS,GRHM CRUM
2030999999,CRACKERS PRODUCT RESERVE,CRCKR
2035100221,PRINGLES CRISPS,PRG
2035100222,PRINGLES CRISPS SNACK STACKS,PRG SNK STK
2035100277,PRINGLES WAVY,PRG WVY
2035100321,PRINGLES HARVEST BLENDS,PRG HRVST BLND
2035100324,PRINGLES MINGLES,PRG MNGLS
2035150249,PRINGLES TORTILLAS,PRG TRTLA
2035150271,PRINGLES LOUD,PRG LOUD
2035200223,PRINGLES STIX,PRG STX
2035200224,OTHER SALTY SNACKS,O SLTY SNKS
2035200242,KASHI SALTY SNACKS CRISPS,KASHI SSC
2035200250,CHEEZ-IT SALTY SNACKS,CHZIT
2035200252,EAGLE SALTY SNACKS CRISPS,EAGLE
2035200317,PRINGLES PUFFS,PRG PFS
2035999999,SALTY SNACKS PRODUCT RESERVE,SLTY SNKS PR RES
2040100118,FRUIT BITES,FRT BITES
2040200268,PURE FRUIT STRIPS,PURE FRT STRP
2040200269,PURE LAYERED FRUIT BARS,PURE LYRD FRT
2040999999,FRUIT SNACKS PRODUCT RESERVE,FRT SNK PR
2050100126,ALL BRAN CEREAL BARS,AB
2050100127,CEREAL BREAKFAST BAR,CRL BKFST BAR
2050100128,CINNABON BARS,CINNBN
2050100129,NUTRI-GRAIN CEREAL BARS,NG
2050100130,SPECIAL K CEREAL BARS,SPK
2050100131,KASHI CEREAL BARS,KASHI CRL
2050100194,BE NATURAL BARS,BN
2050100204,KASHI SOFT N CHEWY BARS,KASHI
2050100289,KASHI BITES,KASHI BITES
2050200132,KASHI LAYERED BARS,KASHI LYRD
2050200133,BEAR NAKED BARS,BNKD
2050200134,FIBER PLUS BARS,FBR PLS
2050200135,SWEET & SALTY BARS,SWT& SLTY
2050200136,KASHI CHEWY BARS,KASHI CHWY
2050200195,KASHI CRUNCHY BARS,KASHI CRNCH
2050200196,KEEBLER GRANOLA BARS,KBLR
2050200197,KELLOGG GRANOLA MUNCH'EMS,KLG
2050200207,KASHI MIXED BRANDS,KASHI MXD
2050200210,SPECIAL K GRANOLA BARS,SPK GRNLA
2050200227,GIRL SCOUT GRANOLA BAR,GS
2050200232,NUTRI-GRAIN GRANOLA BARS,NG
2050200258,KASHI ORGANIC CHEWY BARS,KASHI ORG PROM
2050300137,RKT SQUARES,RKT
2050300138,RKT CRUNCH MIX,RKT
2050300216,KASHI SOFT BAKED SQUARES,KASHI
2050300254,KRAVE TREAT BARS,KRV TRT
2050300263,PURE ANCIENT GRAINS BAR,PURE ANCT GRNS
2050300264,PURE 100 CAL BAR,PURE 100 CAL
2050300283,RKT POPPERS,RKT PPPS
2050400139,ALL BRAN FIBER BARS,AB
2050400140,SPECIAL K PROTEIN BARS,SPK PRTN
2050400141,LIVE BRIGHT,LV BRGT
2050400142,KASHI GOLEAN BARS,KASHI GLN
2050400208,SPK MIXED H & W BRANDS,SPK MXD H&W
2050400233,SPECIAL K NOURISH BARS,SPK NRSH
2050400234,BEAR NAKED H&W BARS,BNKD
2050400235,KASHI JOI,KASHI JOI
2050400265,PURE FRUIT & NUT BAR,PURE FRT NUT
2050400266,PURE VEGGIE PROTEIN BAR,PURE VEG PRT
2050400275,KASHI H&W BARS,KASHI
2050400278,HAPPY INSIDE BARS,HI-BARS
2050400279,HAPPY INSIDE MIX,HI-MIX
2050400280,WK RESERVE,WK RSRV
2050400285,KASHI PROTEIN BARS,KASHI PRTN BARS
2050409999,H & W BARS PRODUCT RESERVE,HWBPR
2050500143,VECTOR BARS,VECTOR
2050500206,MIXED WS BRANDS,MXD WS
2050500255,OTHER NEW BARS,OTHER NEW
2050600309,RXBAR,RX
2050600310,RXBAR MINIS,RX MINIS
2050600311,RXBAR LAYERS,RX LAYERS
2050600314,RXBAR KIDS,RX KIDS
2050600316,RXBAR PLANT-BASED,RX PLNT
2050999999,BARS PRODUCT RESERVE,BPR
2060100230,SPECIAL K BREAKFAST SHAKE,SPK BKFST SHK
2060100231,KELLOGG BREAKFAST TG SHAKE,KLG
