T179_PRODH_BRAND,T179T_VTEXT_BRAND_DESC,COUNTRY,MAT_GRP_1,MAT_GRP_1_DESC,CONCATENATION
1010100320,RX GRANOLA,CA,40,PWS,40 PWS
1010100322,MOUTH OFF,CA,10,CEREAL,10 CEREAL
2010100052,POP-TARTS,CA,40,PWS,40 PWS
2010100053,POP-TARTS MINI CRISPS,CA,40,PWS,40 PWS
2010100054,POP-TARTS RAINBOW PALLETS,CA,40,PWS,40 PWS
2010999999,TOASTER PASTRIES PRODUCT RESERVE,CA,40,PWS,40 PWS
2030100088,ALL BRAN CRACKERS,CA,50,SALTY SNK,50 SALTY SNK
2030100089,AUSTIN CRACKERS OTG,CA,50,SALTY SNK,50 SALTY SNK
2030100090,BLUE GINGER,CA,50,SALTY SNK,50 SALTY SNK
2030100091,CADDIES CHEEZ-IT OTG,CA,50,SALTY SNK,50 SALTY SNK
2030100092,CARR'S CRACKERS,CA,50,SALTY SNK,50 SALTY SNK
2030100093,CHEEZ-IT,CA,50,SALTY SNK,50 SALTY SNK
2030100094,CLUB CRACKERS,CA,50,SALTY SNK,50 SALTY SNK
2030100095,GRAHAMS,CA,50,SALTY SNK,50 SALTY SNK
2030100096,GRIPZ CRACKERS OTG,CA,50,SALTY SNK,50 SALTY SNK
2030100097,KASHI HEART TO HEART CRACKERS,CA,50,SALTY SNK,50 SALTY SNK
2030100098,KELLOGG CRACKER BRAND,CA,50,SALTY SNK,50 SALTY SNK
2030100099,KLG CRACKER PACKS OTG,CA,50,SALTY SNK,50 SALTY SNK
2030100100,KLG LICENSED CRACKERS,CA,50,SALTY SNK,50 SALTY SNK
2030100101,KLG LICENSED CRACKERS OTG,CA,50,SALTY SNK,50 SALTY SNK
2030100102,KRISPY,CA,50,SALTY SNK,50 SALTY SNK
2030100103,PRIVATE LABEL CRACKERS,CA,50,SALTY SNK,50 SALTY SNK
2030100104,RIGHT BITES CHEEZ-IT OTG,CA,50,SALTY SNK,50 SALTY SNK
2030100105,SPECIAL K CRACKERS,CA,50,SALTY SNK,50 SALTY SNK
2030100106,SPECIAL K CRACKERS OTG,CA,50,SALTY SNK,50 SALTY SNK
2030100107,SUNSHINE CRACKERS OTHER,CA,50,SALTY SNK,50 SALTY SNK
2030100108,KASHI CRACKERS,CA,50,SALTY SNK,50 SALTY SNK
2030100109,KASHI CRACKERS OTG,CA,50,SALTY SNK,50 SALTY SNK
2030100110,TOASTED,CA,50,SALTY SNK,50 SALTY SNK
2030100111,TOWN HOUSE,CA,50,SALTY SNK,50 SALTY SNK
2030100112,MIXED CRACKER BRANDS,CA,50,SALTY SNK,50 SALTY SNK
2030100113,WHEATABLES,CA,50,SALTY SNK,50 SALTY SNK
2030100114,ZESTA SALTINES,CA,50,SALTY SNK,50 SALTY SNK
2030100115,OTHER CRACKERS,CA,50,SALTY SNK,50 SALTY SNK
2030100189,BEANATURAL,CA,50,SALTY SNK,50 SALTY SNK
2030100190,KASHI PITA CRACKERS,CA,50,SALTY SNK,50 SALTY SNK
2030100209,CADDIES MIXED CRACKERS OTG,CA,50,SALTY SNK,50 SALTY SNK
2030100212,AUSTIN CRACKERS,CA,50,SALTY SNK,50 SALTY SNK
2030100236,BEAR NAKED CRACKERS,CA,50,SALTY SNK,50 SALTY SNK
2030100238,KASHI CRISP CRACKERS,CA,50,SALTY SNK,50 SALTY SNK
2030100270,CHEEZ-IT SANDWICH CRACKERS,CA,50,SALTY SNK,50 SALTY SNK
2030100319,PURE CRACKERS,CA,50,SALTY SNK,50 SALTY SNK
2030100323,CLUB CRACKERS OTG,CA,50,SALTY SNK,50 SALTY SNK
2030200325,KELLOGG GRAHAM CRUMBS,CA,50,SALTY SNK,50 SALTY SNK
2030999999,CRACKERS PRODUCT RESERVE,CA,50,SALTY SNK,50 SALTY SNK
2035100221,PRINGLES CRISPS,CA,50,SALTY SNK,50 SALTY SNK
2035100222,PRINGLES CRISPS SNACK STACKS,CA,50,SALTY SNK,50 SALTY SNK
2035100277,PRINGLES WAVY,CA,50,SALTY SNK,50 SALTY SNK
2035100321,PRINGLES HARVEST BLENDS,CA,50,SALTY SNK,50 SALTY SNK
2035100324,PRINGLES MINGLES,CA,50,SALTY SNK,50 SALTY SNK
2035150249,PRINGLES TORTILLAS,CA,50,SALTY SNK,50 SALTY SNK
2035150271,PRINGLES LOUD,CA,50,SALTY SNK,50 SALTY SNK
2035200223,PRINGLES STIX,CA,50,SALTY SNK,50 SALTY SNK
2035200224,OTHER SALTY SNACKS,CA,50,SALTY SNK,50 SALTY SNK
2035200242,KASHI SALTY SNACKS CRISPS,CA,50,SALTY SNK,50 SALTY SNK
2035200250,CHEEZ-IT SALTY SNACKS,CA,50,SALTY SNK,50 SALTY SNK
2035200317,PRINGLES PUFFS,CA,50,SALTY SNK,50 SALTY SNK
2035999999,SALTY SNACKS PRODUCT RESERVE,CA,50,SALTY SNK,50 SALTY SNK
2040100116,FRUIT PIECES DISNEY,CA,40,PWS,40 PWS
2040100117,FRUIT PIECES OTHER LICENSED,CA,40,PWS,40 PWS
2040100118,FRUIT PIECES NON-LICENSED,CA,40,PWS,40 PWS
2040100119,PRIVATE LABEL FRUIT PIECES,CA,40,PWS,40 PWS
2040100219,STRETCH ISLAND SIFCO PIECES,CA,40,PWS,40 PWS
2040200120,YOGOS,CA,40,PWS,40 PWS
2040200121,YOGO ROLLERS,CA,40,PWS,40 PWS
2040200122,STRETCH ISLAND SIFCO,CA,40,PWS,40 PWS
2040200123,FRUITABU,CA,40,PWS,40 PWS
