T179_PRODH_BRAND,T179T_VTEXT_BRAND_DESC,SIF_DESCRIPTION
1010100001,ALL BRAN CEREAL,ALL BRAN CEREAL
1010100002,GUARDIAN,GRDIAN
1010100003,APPLE JACKS,APPLE JACKS
1010100004,BEAR NAKED CEREAL GRANOLA,BEAR NAKED
1010100005,CEREAL STRAWS,CRL STRW
1010100006,CINNABON CEREAL,CINNABON CEREAL
1010100007,COCOA KRISPIES,COCOA KRISPIES
1010100009,CORN FLAKES,CORN FLAKES
1010100010,CORN POPS,CORN POPS
1010100011,CRACKLIN OAT BRAN,CRACKLIN OAT BRAN
1010100012,CRISPIX,CRISPIX
1010100013,CRUNCHEROOS,CRNROOS
1010100014,EGGO CEREAL,EG
1010100015,FIBER PLUS CEREAL,FBR PLS
1010100016,FROOT LOOPS,FROOT LOOPS
1010100017,FROSTED FLAKES,FROSTED FLAKES
1010100018,FRUIT HARVEST,FRT HRVST
1010100019,KASHI GO CEREAL,KASHI GO CEREAL
1010100020,KASHI GOOD FRIENDS CEREAL,KASHI GD FRNDS
1010100021,GRAB N GO PACKS,"G-N-G "
1010100022,IN & OUT CEREAL,IN & OUT CEREAL
1010100023,JUST RIGHT FRUIT & NUT,JST RIGHT FRT & NUT
1010100024,KASHI GRANOLA CEREAL,KASHI
1010100025,KASHI HEART TO HEART CEREAL,KASHI HEART 2 HEART
1010100026,KASHI WHOLE HEALTH RTEC,KASHI
1010100027,KASHI OTHER / MIXED CEREAL,KASHI
1010100028,KEEBLER CEREAL,KEEBLER CEREAL
1010100029,LICENSED BRANDS,LICENSED
1010100030,LOW FAT GRANOLA,LOW FAT GRANOLA
1010100031,MIGHTY BITES CEREAL,MIGHT BITS
1010100032,MINI-WHEATS,MINI-WHEATS
1010100033,MORNING JUMP STARTS,MORNING JUMP STARTS
1010100034,MUSLIX,MUSLIX
1010100035,KASHI ORGANIC CEREAL,KASHI ORGANIC
1010100036,PRODUCT 19,PRD19
1010100037,MIXED CEREAL BRANDS,MIXED CEREAL BRANDS
1010100038,RAISIN BRAN,RAISIN BRAN
1010100039,RICE KRISPIES,RICE KRISPIES
1010100040,SHREDDED WHEAT MINIS,SHREDDED WHEAT MINIS
1010100041,SMACKS,SMACKS
1010100042,SMART START CEREAL,SMART START
1010100043,SMORZ,SMORZ
1010100044,SPECIAL K CEREAL,SPECIAL K CEREAL
1010100045,TOTAL ASSORTMENTS,TOTAL ASSORTMENTS
1010100046,VECTOR CEREAL,VECTOR
1010100047,KASHI VIVE CEREAL,KASHI VIVE
1010100048,MISC SALES LICENSING,MSLCN
1010100187,CRUNCHY NUT CEREAL,CRNUT
1010100188,KRAVE CEREAL,KRAVE CEREAL
1010100202,POPS MIXIT CEREAL,POPSMX
1010100214,MF OTHER CEREAL,MF OTHER CEREAL
1010100215,BREAKFAST MIX,BKFST MIX
1010100220,POP-TART CEREAL,PT CRL
1010100257,ORIGINS CEREAL,ORIGINS
1010100274,HAPPY INSIDE,HAPPY INSIDE
1010100281,JOYBOL,JOYBOL
1010100294,CEREAL SNACKING,CRL SNCKNG
1010100308,AWEMOND MAJORITY,AWEMOND MAJORITY
1010100315,RX CEREAL,RX CEREAL
1010100318,PORTABLE BREAKFAST,PORTABLE BREAKFAST
1010100320,RX GRANOLA,RX GRANOLA
1010100322,MOUTH OFF,MOUTH OFF
1010200049,KASHI GOLEAN HOT,KASHI GOLEAN HOT
1010200050,KASHI HEART TO HEART HOT,KASHI H2H
1010200051,BEAR NAKED HOT CEREAL,BNKD
1010200191,KELLOGGS HOT CEREAL,KLG
1010200239,SPECIAL K HOT CEREAL,SPK
1010200260,ORIGINS HOT CEREAL,ORIGINS
1010200313,RX AM OATS,RX AM OATS
1010999999,CEREAL PRODUCT RESERVE,CPR
2010100052,POP-TARTS,POP-TARTS
2010100053,POP-TARTS MINI CRISPS,"PT "
2010100054,POP-TARTS RAINBOW PALLETS,PT RB PAL
2010999999,TOASTER PASTRIES PRODUCT RESERVE,TSTRPR
2020100055,ANIMAL CRACKERS COOKIES,ANIMAL CRACKERS COOKIES
2020100056,BAKERS TREASURERS,BKR TRSR
2020100057,BROWNIES,BRWNS
2020100058,CADDIES COOKIES OTG,CADDIES COOKIES OTG
2020100059,CARR'S COOKIES,CARR'S COOKIES
2020100060,CHIPS DELUXE,CHIPS DELUXE
2020100061,CINNABON COOKIE (USE KLG SWIRLS),CINNBN
2020100062,DANISH WEDDING,DANISH WEDDING
2020100063,FAMOUS AMOS,FAMOUS AMOS
2020100064,FUDGE SHOPPE,FUDGE SHOPPE
2020100065,GRIPZ COOKIES OTG,GRIPZ COOKIES OTG
2020100066,HOLIDAY COOKIES,HLDAY
2020100067,ICED ANIMAL,ICED ANIMAL
2020100068,JACKS,JACKS
2020100069,JACKSON,JACKSON
2020100070,KEEBLER MIXED COOKIES OTG,MIXED COOKIES OTG
2020100071,KEEBLER SPECIAL EDITIONS,KBLR
2020100072,LITTLE BROWNIE BAKER,LTBRN
2020100073,MOTHERS,MOTHERS
2020100074,MURRAY,MURRAY
2020100075,MURRAY SUGAR FREE,MURRAY SUGAR FREE
2020100076,OATMEAL,OATMEAL
2020100077,MIXED COOKIE BRANDS,MIXED COOKIE BRANDS
2020100078,PRIVATE LABEL COOKIES,PRIVATE LABEL COOKIES
2020100079,RIGHT BITES COOKIES OTG,RGHT BT
2020100080,SANDIES,SANDIES
2020100081,SOFT BATCH,SOFT BATCH
2020100082,KASHI COOKIES,KASHI  COOKIES
2020100083,BEAR NAKED COOKIES,BNKD
2020100084,SUGAR WAFERS,SUGAR WAFERS
2020100085,VIENNA FINGERS,VIENNA FINGERS
2020100086,OTHER COOKIES,COOKIES
2020100193,MOTHERS CADDIES OTG,MOTHERS CADDIES OTG
2020100213,AUSTIN COOKIES,AUSTIN COOKIES
2020100217,SPECIAL K COOKIES OTG,SPECIAL K COOKIES OTG
2020100225,KEEBLER SWIRLS,KBLR
2020100226,PITTER PATTER COOKIES,PITR PATR
2020100228,ICE CREAM TOPPINGS,ICE CRM TOPPINGS
2020100229,KEEBLER PRETZEL BITES OTG,KBLR
2020100237,SIMPLY MADE COOKIES,SIMPLY MADE COOKIES
2020100241,EL DUENDE COOKIES,El Dnde Cook
2020100245,KELLOGG TO GO BISCUITS,KLG TG BSCT
2020100253,RKT CRACKLE SNAP OTG,RKT CRKL SNP OTG
2020100256,NUTRI-GRAIN COOKIES OTG,NG
2020100259,THEATER PACKS COOKIES OTG,THTR PK
2020100282,ELFIN MIX,EL MX
2020100287,FRUIT HARVEST COOKIES,"FRT HRVST "
2020200087,CONES,CONES
2020999999,COOKIES PRODUCT RESERVE,CKPR
2030100088,ALL BRAN CRACKERS,AB
2030100089,AUSTIN CRACKERS OTG,AUSTIN CRACKERS OTG
2030100090,BLUE GINGER,BLU GNGR
2030100091,CADDIES CHEEZ-IT OTG,CADDIES CHEEZ-IT OTG
2030100092,CARR'S CRACKERS,CARR'S CRACKERS
2030100093,CHEEZ-IT,CHEEZ-IT
2030100094,CLUB CRACKERS,CLUB CRACKERS
2030100095,GRAHAMS,GRAHAMS
2030100096,GRIPZ CRACKERS OTG,GRIPZ CRACKERS OTG
2030100097,KASHI HEART TO HEART CRACKERS,KASHI H2H
2030100098,KELLOGG CRACKER BRAND,KELLOGG CRACKER
2030100099,KLG CRACKER PACKS OTG,CRACKER PACKS OTG
2030100100,KLG LICENSED CRACKERS,LICENSED CRACKERS
