LOAD_METHOD,DESCRIPTION
1A,1A-GMA Plt All Loads
1B,1B-GMA Plt Exchange
1C,1C-SLIP All DP&M=GMA
1D,1D-SLIP Floor Only
1E,1E-SLIP All DP&M=CHP
1F,1F-Cust Prvd Plt All
1G,1G-Cust Plt Btm Only
1H,1H-CHEP All Loads
1I,1I-CHEP Btm Ld Only
1J,1J-GMA Btm Ld Only
1K,1K-CHEP Btm Slip Top
1L,1L-GMA grd A all lds
1M,1M-GMA Btm Slip Top
1N,1N-Slip all
1O,1O-No slip sheets
1R,1R-CHEP All No Allow
1S,1S-PECO Plt All Lds
1T,1T-PECO Plt Btm Only
1U,1U-CHEP HeatAllLoads
1V,1VCHEPHeatBtmSlipTop
1W,1WHeat ISPM15AllLoad
1X,1XHeat ISPM15BtmSlip
1Y,1Y-GMA HeatAll loads
1Z,1Z-GMA HeatBtmSlipTo
