MARA_MATNR,MAKT_MAKTX
000000002410000174,CHZIT 2 FLVS CRCKR SHPRX12
000000002410010045,CHZIT 2 FLVS CRCKR QTR MODX72
000000002410010069,CHZIT 5 FLVS CRCKR HALF MODX215
000000002410010200,CHZIT ORIG CRCKR 2CT 48OZX192 CLUB
000000002410010201,CHZIT ORIG CRCKR 45CT 67.5OZX70 CLUB
000000002410010420,CHZIT 5 FLVS CRCKR MODX430
000000002410010442,CHZIT ORIG CRCKR XTRA TSTY 12.4OZX12
000000002410010444,CHZIT CHDR CRCKR GRVS 9OZX12
000000002410010480,CHZIT WHL GRN FAFH CRCKR 1ozX60
000000002410010623,CHZIT TSTY CHDR JCK CRCKR 12.4OZX12
000000002410010684,CHZIT ORIG CRCKR 12.4OZX12
000000002410010823,CHZIT SHRP WHT CHDR GRVS CRCKR17OZX12
000000002410010892,CHZIT WHITE CHDR CRCKR 67.5OZX70 CLUB
000000002410010946,CHZIT ORIG CRCKR 30OZX4 CADDY
000000002410010986,CHZIT SNACK MX ORIG CRCKR 6OZX8 STNDUP
000000002410011044,CHZIT WHT CHDR CRCKR GRVS 27OZX180 CLUB
000000002410011059,CHZIT CHDR JCK JLPNO DUOZ CRCKR 12.4X12
000000002410011061,CHZIT BCN CHDR DUOZ CRCKR 12.4OZX12
000000002410011089,CHZIT BCN & CHDR DUOZ CRCKR 4.3OZX6
000000002410011097,CHZIT BUFFALO WINGS CRCKR 12.4OZX12
000000002410011134,CHZIT ORIG CRCKR XTRA TSTY 7OZX12
000000002410011140,CHZIT CRCKR 6 21OZX6 CSSZRED RCP
000000002410011394,CHZIT CHDR RNCH CRCKR GRVS 6OZX6
000000002410011396,CHZIT WHITE CHDR CRCKR GRVS 6OZX6
000000002410011422,CHZIT DBL CHSE CRCKR SNPD 2.2OZX6 SS
000000002410011440,CHZIT DBL CHSE CRCKR SNPD 7.5OZX6
000000002410011460,CHZIT CHDR SCO CKR SNPD 2.2OZX6 SS
000000002410011469,CHZIT SNACK MX CRCKR 10.5OZX8
000000002410011470,CHZIT SNKMX DBLCHSE CRKR 9.75OZX8
000000002410011481,CHZIT DBLE CHSE SNPD 1.5OZX36 FNT END SS
000000002410011486,CHZIT CHDR SCO CRCKR SNPD 7.5OZX6
000000002410011500,CHZIT 2 FLVS CRCKR SNPD 31.5OZX60 CLUB
000000002410011508,CHZIT EXTRA TSTY CRCKR 21OZX12
000000002410011530,CHZIT 2 FLVS CRCKR HALF MODX144 EVDY OFR
000000002410011532,CHZIT CHZ IT CRCKR SHPRX54 EVDY OFR
000000002410011533,CHZIT 2 FLVS CRCKR HALF MODX330 EVDY OFR
000000002410011534,CHZIT 2 FLVS CRCKR MODX660 EVDY OFR
000000002410011537,CHZIT 2 FLVS CRCKR SHPRX27 EVDY OFR
000000002410011542,CHZIT 5 FLVS CRCKR HALF MODX196 EVDY OFR
000000002410011544,CHZIT 5 FLVS CRCKR GRV HFMDX280 EVDY OFR
000000002410011546,CHZIT 5 FLVS CRCKR MODX392 EVDY OFR
000000002410011547,CHZIT 5 FLVS CRCKR MODX560 EVDY OFR
000000002410011560,CHZIT WHT CHDR CRCKR 630LBX1 KSC TOTE
000000002410011591,CHZIT ORIG CRCKR 25OZX8
000000002410011616,CHZIT 2 FLVS CRCKR HALF MODX280 EVDY OFR
000000002410011621,CHZIT WHT CHDR CRCKR 7OZX6
000000002410011624,CHZIT EXTRA TSTY CRCKR 18OZX36 SS
000000002410011659,CHZIT EXTRA CHSY CRCKR 12.4OZX12
000000002410011661,CHZIT EXTRA CHSY CRCKR 7OZX12
000000002410011663,CHZIT CHDR SCO CRCKR SNPD 12OZX5
000000002410011665,CHZIT DBL CHSE CRCKR SNPD 12OZX5
000000002410011669,CHZIT 2 FLVS CRCKR SHPRX72 EVDY OFR
000000002410011680,CHZIT CD 2 FLVS CRCKR PDQ TRAYX6
000000002410011683,CHZIT 3 FLVS CRCKR HALF MODX144 EVDY OFR
000000002410011685,CHZIT WHT CHDR CRCKR 40CT 40.8OZX1 ECOMM
000000002410011686,CHZIT ORIG CRCKR 40CT 40OZX1 ECOMM
000000002410011688,CHZIT VRTY CRCKR 42CT 37.74OZX1 ECOMM
000000002410011689,CHZIT 2 FLVS CRCKR QTR MODX72 EVDY OFR
000000002410011690,CHZIT 4 FLVS CRCKR QTR MODX112 EVDY OFR
000000002410011716,CHZIT CD EXTRA TSTY CRCKR 12CT 12OZX4
000000002410011719,CHZIT CD SNCK MX CRCKR 12CT 9OZX4
000000002410011733,CHZIT WHT CHDR CRCKR 21OZX6 EVDY OFR RCP
000000002410011760,KRSP SALTINES CRCKR HLF MODX160 EVDY OFR
000000002410011771,CHZIT EXTRA CHSY CRCKR 36CT 18OZX36 SS
000000002410011791,CHZIT EXTRA TSTY CRCKR 7OZX6
000000002410011793,CHZIT 4 FLVS XTRA CKR QTRMDX112 EVDY OFR
000000002410011794,CHZIT 5 FLVS CRCKR HALF MODX280 EVDY OFR
000000002410012363,CHZIT CD 3 FLVS CRCKR 18.68OZX4 VP
000000002410012367,CHZIT 6 FLVS CRCKR CORE + BAG HLF MDX250
000000002410012368,CHZIT 6 FLVS CRCKR MODX500
000000002410012371,CHZIT 6 FLVS CRCKR CORE + PFD HLF MDX250
000000002410012372,CHZIT 5 FLVS CRCKR HLF MODX180
000000002410012373,CHZIT EXTRA CRNCHY CRCKR 7OZX12
000000002410012377,CHZIT 3 FLVS CRCKR HTCHX72
000000002410012378,CHZIT CD VRTY PAK CRCKR MODX100
000000002410012379,CHZIT CD VRTY PAK CRCKR HLF MODX50 CADDY
000000002410012381,CHZIT 4 FLVS CRCKR 111OZX1 BULK
000000002410012383,CHZIT DBL CHSE CRCKR PUFFD 5.75OZX1 DTC
000000002410012396,CHZIT 4 FLVS CRCKR HLF MODX196
000000002410012397,CHZIT 2 FLVS CRCKR HTCHX45
000000002410012399,CHZIT CHSE CRCKR 0.75OZX240 BULK
000000002410012401,CHZIT CD ORIG CRCKR 4.5OZX6
