T179_PRODH_BRAND,T179T_VTEXT_BRAND_DESC,COUNTRY,CLASS_TYPE,CHAR_NAME_ALT_MKT_SEG,CHAR_VALUE_ALT_MKT_SEG,CHAR_NAME_ALT_CATEGORY,CHAR_VALUE_ALT_CATEGORY,CHAR_NAME_ALT_SUBCAT,CHAR_VALUE_ALT_SUBCAT
1010100320,RX GRANOLA,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,PWS,ALT_CATEGORY,COLD CEREAL,ALT_SUB_CATEGORY,NAT ORG COLD CEREAL
1010100322,MOUTH OFF,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CEREAL,ALT_CATEGORY,COLD CEREAL,ALT_SUB_CATEGORY,COLD CEREAL
2010100052,POP-TARTS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,TOASTER PASTRIES,ALT_SUB_CATEGORY,TOASTER PASTRIES
2010100053,POP-TARTS MINI CRISPS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,TOASTER PASTRIES,ALT_SUB_CATEGORY,TOASTER PASTRIES
2010100054,POP-TARTS RAINBOW PALLETS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,TOASTER PASTRIES,ALT_SUB_CATEGORY,TOASTER PASTRIES
2010999999,TOASTER PASTRIES PRODUCT RESERVE,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,TOASTER PASTRIES,ALT_SUB_CATEGORY,TOASTER PASTRIES PRODUCT RES
2020100055,ANIMAL CRACKERS COOKIES,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,COOKIES,ALT_SUB_CATEGORY,ALL OTHER COOKIES
2020100253,RKT CRACKLE SNAP OTG,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,COOKIES,ALT_SUB_CATEGORY,OTG COOKIES
2020200087,CONES,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,COOKIES,ALT_SUB_CATEGORY,ALL OTHER COOKIES
2020999999,COOKIES PRODUCT RESERVE,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,COOKIES,ALT_SUB_CATEGORY,COOKIES PRODUCT RESERVE
2030100088,ALL BRAN CRACKERS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,ALL OTHER CRACKERS
2030100089,AUSTIN CRACKERS OTG,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,OTG CRACKERS
2030100090,BLUE GINGER,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,ALL OTHER CRACKERS
2030100091,CADDIES CHEEZ-IT OTG,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,OTG CRACKERS
2030100092,CARR'S CRACKERS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,ALL OTHER CRACKERS
2030100093,CHEEZ-IT,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,CHEEZ-IT
