T179_PRODH_BRAND,T179T_VTEXT_BRAND_DESC,CLASS_TYPE,CHAR_NAME,CHAR_VALUE_MFG_CO,COUNTRY,MFG_CO_ABBREV,MFG_COMMENT,INACTIVE,PRIVATE_LABEL
1010100320,RX GRANOLA,FINISHED_GOODS,MFG_COMPANY,INSURGENT BRANDS LLC,CA,NULL,NULL,,
1010100320,RX GRANOLA,FINISHED_GOODS,MFG_COMPANY,INSURGENT BRANDS LLC,US,NULL,NULL,,
1010100322,MOUTH OFF,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,NULL,NULL,,
1010100322,MOUTH OFF,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,NULL,NULL,,
2010100052,POP-TARTS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2010100052,POP-TARTS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S POP-TARTS,US,,,,
2010100053,POP-TARTS MINI CRISPS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2010100053,POP-TARTS MINI CRISPS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2010100054,POP-TARTS RAINBOW PALLETS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2010100054,POP-TARTS RAINBOW PALLETS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2010999999,TOASTER PASTRIES PRODUCT RESERVE,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2010999999,TOASTER PASTRIES PRODUCT RESERVE,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2020100055,ANIMAL CRACKERS COOKIES,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2020100055,ANIMAL CRACKERS COOKIES,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2030100088,ALL BRAN CRACKERS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2030100088,ALL BRAN CRACKERS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2030100089,AUSTIN CRACKERS OTG,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2030100089,AUSTIN CRACKERS OTG,FINISHED_GOODS,MFG_COMPANY,AUSTIN,US,,,,
2030100090,BLUE GINGER,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2030100090,BLUE GINGER,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2030100091,CADDIES CHEEZ-IT OTG,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2030100091,CADDIES CHEEZ-IT OTG,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S CHEEZ IT,US,,,,
2030100092,CARR'S CRACKERS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2030100092,CARR'S CRACKERS,FINISHED_GOODS,MFG_COMPANY,CARR'S,US,,,,
2030100093,CHEEZ-IT,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2030100093,CHEEZ-IT,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S CHEEZ IT,US,,,,
2030100094,CLUB CRACKERS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2030100094,CLUB CRACKERS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2030100095,GRAHAMS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2030100095,GRAHAMS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
