T179_PRODH_BRAND,T179T_VTEXT_BRAND_DESC,CLASS_TYPE,CHAR_NAME,CHAR_VALUE_SMARTOPS
1010100320,RX GRANOLA,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
1010100322,MOUTH OFF,SMARTOPS,SMARTOPS_SUPPLYCHAIN,CEREAL
2010100052,POP-TARTS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,PT
2010100053,POP-TARTS MINI CRISPS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,PT
2010100054,POP-TARTS RAINBOW PALLETS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,PT
2010999999,TOASTER PASTRIES PRODUCT RESERVE,SMARTOPS,SMARTOPS_SUPPLYCHAIN,PT
2020100055,ANIMAL CRACKERS COOKIES,SMARTOPS,SMARTOPS_SUPPLYCHAIN,COOKIES
2020100056,BAKERS TREASURERS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,COOKIES
2020100057,BROWNIES,SMARTOPS,SMARTOPS_SUPPLYCHAIN,COOKIES
2030100088,ALL BRAN CRACKERS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,CRACKERS
2030100089,AUSTIN CRACKERS OTG,SMARTOPS,SMARTOPS_SUPPLYCHAIN,CRACKERS
2030100090,BLUE GINGER,SMARTOPS,SMARTOPS_SUPPLYCHAIN,CRACKERS
2030100091,CADDIES CHEEZ-IT OTG,SMARTOPS,SMARTOPS_SUPPLYCHAIN,CRACKERS
2030100092,CARR'S CRACKERS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,CRACKERS
2030100093,CHEEZ-IT,SMARTOPS,SMARTOPS_SUPPLYCHAIN,CRACKERS
2030100094,CLUB CRACKERS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,CRACKERS
2030100095,GRAHAMS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,CRACKERS
2030100096,GRIPZ CRACKERS OTG,SMARTOPS,SMARTOPS_SUPPLYCHAIN,CRACKERS
2030100097,KASHI HEART TO HEART CRACKERS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
2030100098,KELLOGG CRACKER BRAND,SMARTOPS,SMARTOPS_SUPPLYCHAIN,CRACKERS
2030100099,KLG CRACKER PACKS OTG,SMARTOPS,SMARTOPS_SUPPLYCHAIN,CRACKERS
2030100100,KLG LICENSED CRACKERS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,CRACKERS
2030100101,KLG LICENSED CRACKERS OTG,SMARTOPS,SMARTOPS_SUPPLYCHAIN,CRACKERS
2030100102,KRISPY,SMARTOPS,SMARTOPS_SUPPLYCHAIN,CRACKERS
2030100103,PRIVATE LABEL CRACKERS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,CRACKERS
2030100104,RIGHT BITES CHEEZ-IT OTG,SMARTOPS,SMARTOPS_SUPPLYCHAIN,CRACKERS
2030100105,SPECIAL K CRACKERS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,CRACKERS
2030100106,SPECIAL K CRACKERS OTG,SMARTOPS,SMARTOPS_SUPPLYCHAIN,CRACKERS
2030100107,SUNSHINE CRACKERS OTHER,SMARTOPS,SMARTOPS_SUPPLYCHAIN,CRACKERS
2030100108,KASHI CRACKERS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
2030100109,KASHI CRACKERS OTG,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
2030100110,TOASTED,SMARTOPS,SMARTOPS_SUPPLYCHAIN,CRACKERS
2030100111,TOWN HOUSE,SMARTOPS,SMARTOPS_SUPPLYCHAIN,CRACKERS
2030100112,MIXED CRACKER BRANDS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,CRACKERS
2030100113,WHEATABLES,SMARTOPS,SMARTOPS_SUPPLYCHAIN,CRACKERS
2030100114,ZESTA SALTINES,SMARTOPS,SMARTOPS_SUPPLYCHAIN,CRACKERS
2030100115,OTHER CRACKERS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,CRACKERS
2030100189,BEANATURAL,SMARTOPS,SMARTOPS_SUPPLYCHAIN,CRACKERS
