CLASS_TYPE,CHAR_NAME,CHAR_VALUE,ABBREVIATION,INACTIVE
FINISHED_GOODS,FLAVOR,10 FLAVORS,10 FLVS,
FINISHED_GOODS,FLAVOR,2 FLAVORS,2 FLVS,
FINISHED_GOODS,FLAVOR,3 FLAVORS,3 FLVS,
FINISHED_GOODS,FLAVOR,3 FLAVORS AJ RED SUG HNY GRHM,3 FLAVORS AJ RED SUG HNY GRHM,
FINISHED_GOODS,FLAVOR,3 FLAVORS ELF GRHM NG STRWBRRY,3 FLAVORS ELF GRHM NG STRWBRRY,
FINISHED_GOODS,FLAVOR,3 FLAVORS FF RED SUG HNY GRHM,3 FLAVORS FF RED SUG HNY GRHM,
FINISHED_GOODS,FLAVOR,3 FLAVORS FL RED SUG HNY GRHM,3 FLAVORS FL RED SUG HNY GRHM,
FINISHED_GOODS,FLAVOR,4 FLAVORS,4 FLVS,
FINISHED_GOODS,FLAVOR,4 FLAVORS ORG PRG RKT WC,4 FLAVORS ORG PRG RKT WC,
FINISHED_GOODS,FLAVOR,5 FLAVORS,5 FLVS,
FINISHED_GOODS,FLAVOR,6 FLAVORS,6 FLVS,
FINISHED_GOODS,FLAVOR,7 FLAVORS,7 FLVS,
FINISHED_GOODS,FLAVOR,7 GRAIN ORIGINAL,7GRN ORG,NULL
FINISHED_GOODS,FLAVOR,7 LAYER DIP,7 LYR DIP,NULL
FINISHED_GOODS,FLAVOR,8 FLAVORS,8 FLVS,
FINISHED_GOODS,FLAVOR,9 FLAVORS,9 FLVS,
FINISHED_GOODS,FLAVOR,ADOBADO,ADBDO,NULL
FINISHED_GOODS,FLAVOR,ALL DRESSED,ALLDRSD,NULL
FINISHED_GOODS,FLAVOR,ALMOND BUTTER,ALMND BTR,NULL
FINISHED_GOODS,FLAVOR,ALMOND HONEY OAT,ALMND HNY OAT,
FINISHED_GOODS,FLAVOR,ALMOND PUMPKIN SEED,ALMND PMPKN SD,
FINISHED_GOODS,FLAVOR,ANIMALS,ANMLS,
FINISHED_GOODS,FLAVOR,AP H&S,AP H&S,NULL
FINISHED_GOODS,FLAVOR,AP ORG,AP ORG,NULL
FINISHED_GOODS,FLAVOR,AP SCO,AP SCO,NULL
FINISHED_GOODS,FLAVOR,APPLE,APL,
FINISHED_GOODS,FLAVOR,APPLE BLAST,APL BLST,
FINISHED_GOODS,FLAVOR,APPLE CINNAMON,APL CINN,
FINISHED_GOODS,FLAVOR,APPLE CINNAMON FLAX,APL CINN FLX,NULL
FINISHED_GOODS,FLAVOR,APPLE CRISP,APL CRSP,
FINISHED_GOODS,FLAVOR,APPLE FRITTER,APL FRTR,NULL
FINISHED_GOODS,FLAVOR,APPLE JACKS,AJ,
FINISHED_GOODS,FLAVOR,APPLE STRUDEL,APL STRDL,
FINISHED_GOODS,FLAVOR,APPLETASTIC,APLTSTC,
FINISHED_GOODS,FLAVOR,APPLEWOOD SMOKED BACON,APPLWD SMKD BCN,NULL
FINISHED_GOODS,FLAVOR,APPLEWOOD SMOKED CHEDDAR,APPLWD SMKD CHDR,
FINISHED_GOODS,FLAVOR,ASIAGO,ASIAGO,
FINISHED_GOODS,FLAVOR,ASIAN ZING,ASN ZNG,NULL
FINISHED_GOODS,FLAVOR,ASSORTED,ASST,X
FINISHED_GOODS,FLAVOR,AWESOME APPLE BITES,AWSM APL BTS,NULL
FINISHED_GOODS,FLAVOR,BABY SWISS,BABY SWISS,
FINISHED_GOODS,FLAVOR,BACON,BCN,
FINISHED_GOODS,FLAVOR,BACON CHEDDAR,BCN CHDR,NULL
FINISHED_GOODS,FLAVOR,BACON STRIPS,BACON STRIPS,NULL
FINISHED_GOODS,FLAVOR,BACONATOR,BCNATR,NULL
FINISHED_GOODS,FLAVOR,BAKED CHIKN,BKD CKN,NULL
FINISHED_GOODS,FLAVOR,BANANA,BNA,
FINISHED_GOODS,FLAVOR,BANANA CHOCOLATE,BNA CHOC,NULL
FINISHED_GOODS,FLAVOR,BANANA CHOCOLATE CHIP,BNA CHOC CHIP,
FINISHED_GOODS,FLAVOR,BANANA CHOCOLATE WALNUT,BNA CHOC WLNT,NULL
FINISHED_GOODS,FLAVOR,BANANA CREAM,BNA CRM,
FINISHED_GOODS,FLAVOR,BARBACOA,BRBCOA,NULL
FINISHED_GOODS,FLAVOR,BARBEQUE,BBQ,NULL
FINISHED_GOODS,FLAVOR,BBQ,BBQ,
FINISHED_GOODS,FLAVOR,BBQ & BUFFALO,BBQ & BFFLO,NULL
FINISHED_GOODS,FLAVOR,BBQ & PIZZA,BBQ PIZZA,NULL
FINISHED_GOODS,FLAVOR,BBQ RIBS,BBQ RBS,NULL
FINISHED_GOODS,FLAVOR,BBQ SAUCE & CHICKEN NUGGETS,BBQ SAUCE & CHKN NGGTS,NULL
FINISHED_GOODS,FLAVOR,BEEF,BF,
FINISHED_GOODS,FLAVOR,BEER BATTERED ONION RING,BEER BTTRD ONION RING,NULL
FINISHED_GOODS,FLAVOR,BEER BRAISED STEAK,BR BRSD STK,NULL
FINISHED_GOODS,FLAVOR,BEER BRATS,BR BRTS,NULL
