CLASS_TYPE,CHAR_NAME,CHAR_VALUE,ABBREVIATION,COUNTRY,INACTIVE
"FINISHED_GOODS    ",FOOD_FORM,BARS,BARS,CA,
FINISHED_GOODS,FOOD_FORM,BITES,BITES,CA,
"FINISHED_GOODS    ",FOOD_FORM,CHEWY BARS,CHWY BARS,CA,
"FINISHED_GOODS    ",FOOD_FORM,CRACKER CHIPS,CRCKR CHIPS,CA,
"FINISHED_GOODS    ",FOOD_FORM,CRACKERS,CRCKR,CA,
"FINISHED_GOODS    ",FOOD_FORM,CRISPS,CRISPS,CA,
FINISHED_GOODS,FOOD_FORM,CRUNCHY GRANOLA SNACKS,CRCHY GRNLA SNKS,CA,
FINISHED_GOODS,FOOD_FORM,FRUIT BITES,FRT BTS,CA,
"FINISHED_GOODS    ",FOOD_FORM,GRANOLA,GRNLA,CA,
"FINISHED_GOODS    ",FOOD_FORM,MEAL REPLACEMENT,MEAL RPL,CA,
FINISHED_GOODS,FOOD_FORM,NUT BUTTER,NUT BTR,CA,
"FINISHED_GOODS    ",FOOD_FORM,NUTRITIONAL SUPPLEMENT,NTRT SUP,CA,
"FINISHED_GOODS    ",FOOD_FORM,PANCAKES,PANC,CA,
"FINISHED_GOODS    ",FOOD_FORM,PASTRIES,PSTRS,CA,
"FINISHED_GOODS    ",FOOD_FORM,POPCORN CHIPS,PCRN CHIPS,CA,
"FINISHED_GOODS    ",FOOD_FORM,POTATO CHIPS,PTO CHIPS,CA,
"FINISHED_GOODS    ",FOOD_FORM,PROTEIN BITES,PRTN BITES,CA,
"FINISHED_GOODS    ",FOOD_FORM,TORTILLA CHIPS,TRT CHIPS,CA,
"FINISHED_GOODS    ",FOOD_FORM,VEGGIE BITES,VEG BITES,CA,
"FINISHED_GOODS    ",FOOD_FORM,VEGGIE BURGERS,VEG BRGR,CA,
"FINISHED_GOODS    ",FOOD_FORM,VEGGIE CRUMBLES,VEG CRMBL,CA,
"FINISHED_GOODS    ",FOOD_FORM,WAFFLES,WFL,CA,
"FINISHED_GOODS    ",FOOD_FORM,BARK,BARK,US,
"FINISHED_GOODS    ",FOOD_FORM,BARS,BARS,US,
"FINISHED_GOODS    ",FOOD_FORM,BISCUITS,BSCT,US,
"FINISHED_GOODS    ",FOOD_FORM,BITES,BITES,US,
FINISHED_GOODS,FOOD_FORM,BOTTLE,BTL,US,
FINISHED_GOODS,FOOD_FORM,BUTTER,BTR,US,
"FINISHED_GOODS    ",FOOD_FORM,CAN,CAN,US,
"FINISHED_GOODS    ",FOOD_FORM,CLUSTERS,CLSTRS,US,
"FINISHED_GOODS    ",FOOD_FORM,CRACKER CHIPS,CRCKR CHIPS,US,
"FINISHED_GOODS    ",FOOD_FORM,CRACKER POPCORN CHIPS,CRCKR PC CHIPS,US,
"FINISHED_GOODS    ",FOOD_FORM,CRACKERS,CRCKR,US,
"FINISHED_GOODS    ",FOOD_FORM,CRISPS,CRISPS,US,
"FINISHED_GOODS    ",FOOD_FORM,CRISPS OTG,CRISPS OTG,US,
"FINISHED_GOODS    ",FOOD_FORM,CRUMBS,CRMBS,US,
FINISHED_GOODS,FOOD_FORM,CRUNCHY POPPERS,CRNCHY PPRS,US,
"FINISHED_GOODS    ",FOOD_FORM,CRUSHED,CRSHD,US,
"FINISHED_GOODS    ",FOOD_FORM,DIP,DIP,US,
FINISHED_GOODS,FOOD_FORM,DIPPING SPOONS,DPNG SPNS,US,
FINISHED_GOODS,FOOD_FORM,DIPPING THINS,DPNG THNS,US,
"FINISHED_GOODS    ",FOOD_FORM,DONUTS,DNTS,US,
