CLASS_TYPE,CHAR_NAME,CHAR_VALUE,ABBREVIATION,INACTIVE
PROMOTION,LONG_DESCRIPTION,"""OVERSEAS ADVENTURE (PT, RTEC)""",OVRSEA,
PROMOTION,LONG_DESCRIPTION,100TH ANNIVERSARY,100 ANNVSY,
PROMOTION,LONG_DESCRIPTION,12 DAYS OF PRINGLES,12 D PRG,
PROMOTION,LONG_DESCRIPTION,150TH ANNIVERSARY,150 ANNVSY,
PROMOTION,LONG_DESCRIPTION,2023 STRANGER THINGS DAY,"STNGR THNGS ",
PROMOTION,LONG_DESCRIPTION,2024 PT 60TH BIRTHDAY,2024PT60BDY,
PROMOTION,LONG_DESCRIPTION,2025 BACK TO SCHOOL,2025 BCK TO SCHL,
PROMOTION,LONG_DESCRIPTION,2025 STRANGER THINGS," STNGR THNGS",
PROMOTION,LONG_DESCRIPTION,7-ELEVEN,7-ELEVEN,
PROMOTION,LONG_DESCRIPTION,AARP,AARP,
PROMOTION,LONG_DESCRIPTION,ADDAMS FAMILY,ADDMS FMLY,
PROMOTION,LONG_DESCRIPTION,ADULT FITNESS,ADLT FIT,
PROMOTION,LONG_DESCRIPTION,AFH HOOPS,AFH HPS,
PROMOTION,LONG_DESCRIPTION,AHOLD,AHOLD,
PROMOTION,LONG_DESCRIPTION,ALDI,ALDI,
PROMOTION,LONG_DESCRIPTION,ALDI HOLIDAY,ALDI HLDY,
PROMOTION,LONG_DESCRIPTION,AMAZON,AMAZON,
PROMOTION,LONG_DESCRIPTION,ANSSI,ANSSI,
PROMOTION,LONG_DESCRIPTION,ASSORTED REFRESH,ASSTRFSH,
PROMOTION,LONG_DESCRIPTION,AVATAR,AVTR,
PROMOTION,LONG_DESCRIPTION,AVATAR INSERT,AVTR INSRT,
PROMOTION,LONG_DESCRIPTION,AVENGERS,AVENGERS,
PROMOTION,LONG_DESCRIPTION,BACK 2 SCHOOL,BACK 2 SCHL,
PROMOTION,LONG_DESCRIPTION,BACK TO SCHOOL,BACK TO SCHL,
PROMOTION,LONG_DESCRIPTION,BACK TO SCHOOL (GENERAL),BTS,
PROMOTION,LONG_DESCRIPTION,BALDWIN RICHARDSON,BLDWN RSN,
PROMOTION,LONG_DESCRIPTION,BANDED PACK,BANDED PACK,
PROMOTION,LONG_DESCRIPTION,BANDED PACK WIP,BND PCK WIP,
PROMOTION,LONG_DESCRIPTION,BARBARA DEE,BARB D,
PROMOTION,LONG_DESCRIPTION,BASKIN ROBINS,BA RO,
PROMOTION,LONG_DESCRIPTION,BIG DAYS,BIG DAYS,
PROMOTION,LONG_DESCRIPTION,BIG GAME,BIG G,
PROMOTION,LONG_DESCRIPTION,BJS,BJ,
PROMOTION,LONG_DESCRIPTION,BONUS PACKS,BNS PK,
PROMOTION,LONG_DESCRIPTION,BOSTON,BOSTON,
PROMOTION,LONG_DESCRIPTION,BOWL SEASON,BWL SSN,
PROMOTION,LONG_DESCRIPTION,BOX BOARD,BOXBOARD,
PROMOTION,LONG_DESCRIPTION,BREAKFAST COUPON,BKFST CPN,
PROMOTION,LONG_DESCRIPTION,BREAKFAST FOR ALL,BFA,
PROMOTION,LONG_DESCRIPTION,BREAKFAST PLATEFORM - TEST TAK,BP TST T,
PROMOTION,LONG_DESCRIPTION,BREAKFAST PLATEFORM - TEST TAKING,BP TST T,
PROMOTION,LONG_DESCRIPTION,BREAST CANCER AWARENESS,BCA,
PROMOTION,LONG_DESCRIPTION,BRONX,BRONX,
PROMOTION,LONG_DESCRIPTION,BRONX 2,BRONX 2,
PROMOTION,LONG_DESCRIPTION,BTS,BTS,
PROMOTION,LONG_DESCRIPTION,BTS BPF,BTS BPF,
PROMOTION,LONG_DESCRIPTION,BTS CASH INSTANT WIN CODE,BTS CC,
PROMOTION,LONG_DESCRIPTION,BTS CASH INSTANT WIN CODE 2012,BTS CC,
PROMOTION,LONG_DESCRIPTION,BTS CRL,BTS CRL,
PROMOTION,LONG_DESCRIPTION,BTS IRC,BTS IRC,
PROMOTION,LONG_DESCRIPTION,BTS NPF,BTS NPF,
PROMOTION,LONG_DESCRIPTION,BTS NPF IRC,BTS NPF IRC,
PROMOTION,LONG_DESCRIPTION,BUILD A BETTER BREAKFAST,BBB,
PROMOTION,LONG_DESCRIPTION,BUNNY,BNY,
PROMOTION,LONG_DESCRIPTION,BURGER KING,BK,
PROMOTION,LONG_DESCRIPTION,BUTTERBALL,BTRBL,
