CLASS_TYPE,CHAR_NAME,CHAR_VALUE,ABBREVIATION
FINISHED_GOODS,BUSINESS_UNIT,FROZEN,
FINISHED_GOODS,BUSINESS_UNIT,KASHI,
FINISHED_GOODS,BUSINESS_UNIT,SNACKS,
PROMOTION,BUSINESS_UNIT_PROMO,CANADA,
PROMOTION,BUSINESS_UNIT_PROMO,FROZEN,
PROMOTION,BUSINESS_UNIT_PROMO,KASHI,
PROMOTION,BUSINESS_UNIT_PROMO,MULTIPLE,
PROMOTION,BUSINESS_UNIT_PROMO,SNACKS,
PROMOTION,BUSINESS_UNIT_PROMO,SPECIALTY,
WM_DLX_FIELDS,CLAMP_PRES,H,
WM_DLX_FIELDS,CLAMP_PRES,L,
WM_DLX_FIELDS,CLAMP_PRES,M,
WM_DLX_FIELDS,CLAMP_PRES,V,
FINISHED_GOODS,COUNTRY_OF_ORIGIN,CA,
FINISHED_GOODS,COUNTRY_OF_ORIGIN,GB,
FINISHED_GOODS,COUNTRY_OF_ORIGIN,MX,
FINISHED_GOODS,COUNTRY_OF_ORIGIN,MY,
FINISHED_GOODS,COUNTRY_OF_ORIGIN,US,
FINISHED_GOODS,DATA_SYNC,N,
FINISHED_GOODS,DATA_SYNC,Y,
FINISHED_GOODS,FERT_PROJECT_TYPE,KUBIC,
FINISHED_GOODS,FERT_PROJECT_TYPE,PDR,
FINISHED_GOODS,FERT_PROJECT_TYPE,PWR,
FINISHED_GOODS,FERT_PROJECT_TYPE,SCR,
FINISHED_GOODS,FERT_TYPE,EVERYDAY,
FINISHED_GOODS,FERT_TYPE,IN/OUT,
FINISHED_GOODS,FERT_TYPE,SEASONAL,
FINISHED_GOODTRADE_CHANNEL,HEALTHCARE,,
SALES_DATA,KSC_FIELD_CATEGORY,BARS-CEREAL BARS,
SALES_DATA,KSC_FIELD_CATEGORY,BARS-GRANOLA BARS,
SALES_DATA,KSC_FIELD_CATEGORY,BARS-HEALTH & WELLNESS BARS,
SALES_DATA,KSC_FIELD_CATEGORY,BARS-OTHER BARS,
SALES_DATA,KSC_FIELD_CATEGORY,BARS-RX ADULT,
SALES_DATA,KSC_FIELD_CATEGORY,BARS-RX KIDS,
SALES_DATA,KSC_FIELD_CATEGORY,BARS-RX LAYERS,
SALES_DATA,KSC_FIELD_CATEGORY,BARS-RX MINI,
SALES_DATA,KSC_FIELD_CATEGORY,BARS-RX PLANT,
SALES_DATA,KSC_FIELD_CATEGORY,BARS-TREAT BARS,
SALES_DATA,KSC_FIELD_CATEGORY,BEVERAGE-LIQUIDS,
SALES_DATA,KSC_FIELD_CATEGORY,BEVERAGE-POWDERS,
SALES_DATA,KSC_FIELD_CATEGORY,CRACKERS-GRAHAMS,
