CLASS_TYPE,CHAR_NAME,CHAR_VALUE,ABBREVIATION,COUNTRY,INACTIVE
FINISHED_GOODS,MFG_COMPANY,CANADA,CA,CA,
FINISHED_GOODS,MFG_COMPANY,ALDI,ALDI,US,
FINISHED_GOODS,MFG_COMPANY,AUSTIN,ASTN,US,
FINISHED_GOODS,MFG_COMPANY,BEAR NAKED,BNKD,US,
FINISHED_GOODS,MFG_COMPANY,BRICKFIRE BAKERY,BRCKFR BKRY,US,
FINISHED_GOODS,MFG_COMPANY,CARR'S,CARR,US,
FINISHED_GOODS,MFG_COMPANY,FAMOUS AMOS,FAMOS,US,
FINISHED_GOODS,MFG_COMPANY,FERRARA CANDY COMPANY,,US,
FINISHED_GOODS,MFG_COMPANY,FOOD SERVICES OF AMERICA,FSA,US,
FINISHED_GOODS,MFG_COMPANY,FROSTY ACRES RESTAURANTS PRIDE,FRSTY ACRS REST PRD,US,
FINISHED_GOODS,MFG_COMPANY,GARDENBURGER,GB,US,
FINISHED_GOODS,MFG_COMPANY,GIRL SCOUTS,GS,US,
FINISHED_GOODS,MFG_COMPANY,GORDON FOODSERVICE,GFS,US,
FINISHED_GOODS,MFG_COMPANY,GREAT VALUE WM,,US,
FINISHED_GOODS,MFG_COMPANY,HERITAGE OVENS,HRTG OVNS,US,
FINISHED_GOODS,MFG_COMPANY,HOUSE RECIPE,HSE RCP,US,
FINISHED_GOODS,MFG_COMPANY,INSURGENT BRANDS LLC,INSRGNT BRNDS LLC,US,
FINISHED_GOODS,MFG_COMPANY,JACKSON'S,JACKSN,US,
FINISHED_GOODS,MFG_COMPANY,KASHI,KASHI,US,
FINISHED_GOODS,MFG_COMPANY,KEEBLER,KBLR,US,
FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,KLG,US,
FINISHED_GOODS,MFG_COMPANY,KELLOGG'S CHEEZ IT,KLG CHZIT,US,
FINISHED_GOODS,MFG_COMPANY,KELLOGG'S EGGO,KLG EG,US,
FINISHED_GOODS,MFG_COMPANY,KELLOGG'S POP-TARTS,KLG PT,US,
FINISHED_GOODS,MFG_COMPANY,MARKET BASKET,MKT BSKT,US,
FINISHED_GOODS,MFG_COMPANY,MEIJER,MJR,US,
FINISHED_GOODS,MFG_COMPANY,MONARCH,MNRCH,US,
FINISHED_GOODS,MFG_COMPANY,MORNINGSTAR FARMS,MSF,US,
FINISHED_GOODS,MFG_COMPANY,MOTHERS,,US,
FINISHED_GOODS,MFG_COMPANY,MURRAY,MRRY,US,
FINISHED_GOODS,MFG_COMPANY,MURRAY SUGAR FREE,MRRY SF,US,
FINISHED_GOODS,MFG_COMPANY,PRINGLES,PRG,US,
FINISHED_GOODS,MFG_COMPANY,PURE ORGANIC,PURE ORG,US,
FINISHED_GOODS,MFG_COMPANY,ROMA,RMA,US,
FINISHED_GOODS,MFG_COMPANY,SAMS,SAMS,US,
FINISHED_GOODS,MFG_COMPANY,SAVORITZ 4 KIDS,SVTZ 4 KDS,US,
FINISHED_GOODS,MFG_COMPANY,STRETCH ISLAND,SIFCO,US,
FINISHED_GOODS,MFG_COMPANY,SUBWAY,,US,
FINISHED_GOODS,MFG_COMPANY,SUNSHINE,SUNS,US,
FINISHED_GOODS,MFG_COMPANY,SYSCO,SYSCO,US,
FINISHED_GOODS,MFG_COMPANY,UNIPRO,UNPR,US,
FINISHED_GOODS,MFG_COMPANY,US FOODS,USF,US,
FINISHED_GOODS,MFG_COMPANY,WEGMANS,WGMNS,US,
FINISHED_GOODS,MFG_COMPANY,WENDY'S,WNDYS,US,
FINISHED_GOODS,MFG_COMPANY,WORTHINGTON,,US,
