CLASS_TYPE,CHAR_NAME,CHAR_VALUE,INACTIVE
FINISHED_GOODS,SUB-BRAND,ALL BRAN BAR,
FINISHED_GOODS,SUB-BRAND,ANIMAL CRACKERS COOKIES,
FINISHED_GOODS,SUB-BRAND,AUSTIN ZOO ANIMALS,
FINISHED_GOODS,SUB-BRAND,BEAR NAKED BARS,
FINISHED_GOODS,SUB-BRAND,BIRTHDAY WAFFLES,
FINISHED_GOODS,SUB-BRAND,CADDIES CHEEZ-IT OTG,
FINISHED_GOODS,SUB-BRAND,CADDIES MIXED CRACKERS OTG,
FINISHED_GOODS,SUB-BRAND,CARR'S COOKIES,
FINISHED_GOODS,SUB-BRAND,CARR'S CRACKERS,
FINISHED_GOODS,SUB-BRAND,CEREAL BREAKFAST BAR,
FINISHED_GOODS,SUB-BRAND,CHEEZ-IT,
FINISHED_GOODS,SUB-BRAND,CHEEZ-IT BIG,
FINISHED_GOODS,SUB-BRAND,CHEEZ-IT CRUNCH,
FINISHED_GOODS,SUB-BRAND,CHEEZ-IT CRUNCHY,
FINISHED_GOODS,SUB-BRAND,CHEEZ-IT DUOZ,
FINISHED_GOODS,SUB-BRAND,CHEEZ-IT EXTRA TOASTY,
FINISHED_GOODS,SUB-BRAND,CHEEZ-IT GROOVES,
FINISHED_GOODS,SUB-BRAND,CHEEZ-IT MIXED,
FINISHED_GOODS,SUB-BRAND,CHEEZ-IT ORIGINAL,
FINISHED_GOODS,SUB-BRAND,CHEEZ-IT OTG CUP,
FINISHED_GOODS,SUB-BRAND,CHEEZ-IT POPCORN,
FINISHED_GOODS,SUB-BRAND,CHEEZ-IT PUFFD,
FINISHED_GOODS,SUB-BRAND,CHEEZ-IT REDUCED FAT,
FINISHED_GOODS,SUB-BRAND,CHEEZ-IT SNACK MIX,
FINISHED_GOODS,SUB-BRAND,CHEEZ-IT SNAP'D,
FINISHED_GOODS,SUB-BRAND,CLUB CRACKERS,
FINISHED_GOODS,SUB-BRAND,CLUB CRACKERS SNACK STACKS,
FINISHED_GOODS,SUB-BRAND,COOKIES CADDIES OTG,
FINISHED_GOODS,SUB-BRAND,CRACKER PACKS OTG,
FINISHED_GOODS,SUB-BRAND,CRACKER SANDWICH,
FINISHED_GOODS,SUB-BRAND,CRUNCHY POPPERS,
FINISHED_GOODS,SUB-BRAND,CUSTOM IND CRACKERS,
FINISHED_GOODS,SUB-BRAND,"DIPPERS ",
FINISHED_GOODS,SUB-BRAND,EGGO FAMILY WAFFLES,
FINISHED_GOODS,SUB-BRAND,EGGO FRENCH TOAST,
FINISHED_GOODS,SUB-BRAND,EGGO GRAB N GO,
FINISHED_GOODS,SUB-BRAND,EGGO HEALTHY WAFFLES,
FINISHED_GOODS,SUB-BRAND,EGGO KID WAFFLES,
FINISHED_GOODS,SUB-BRAND,EGGO PANCAKES,
FINISHED_GOODS,SUB-BRAND,EGGO PANCAKES MINIS,
FINISHED_GOODS,SUB-BRAND,EGGO PROTEIN WAFFLES,
FINISHED_GOODS,SUB-BRAND,EGGO THICK & FLUFFY,
FINISHED_GOODS,SUB-BRAND,EGGO WAFFLES CHOCOLATE,
FINISHED_GOODS,SUB-BRAND,EL FUDGE,
FINISHED_GOODS,SUB-BRAND,ENERGY BITES,
FINISHED_GOODS,SUB-BRAND,FAMOUS AMOS,
FINISHED_GOODS,SUB-BRAND,FINISHED GOODS MISC PRINGLES,
FINISHED_GOODS,SUB-BRAND,FLAVORED WAFFLES,
FINISHED_GOODS,SUB-BRAND,FOODSERVICE PRIVATE LABEL,
FINISHED_GOODS,SUB-BRAND,FUDGE SHOPPE,
FINISHED_GOODS,SUB-BRAND,GB MEAT STYLE BURGERS,
FINISHED_GOODS,SUB-BRAND,GB PRIVATE LABEL,
FINISHED_GOODS,SUB-BRAND,GB VEGGIE BURGERS,
FINISHED_GOODS,SUB-BRAND,GRAHAM CRACKERS CRUMBS,
FINISHED_GOODS,SUB-BRAND,GRAHAMS,
FINISHED_GOODS,SUB-BRAND,GRAHAMS EGGO,
FINISHED_GOODS,SUB-BRAND,GRIPZ CRACKERS OTG,
FINISHED_GOODS,SUB-BRAND,ICED ANIMAL,
FINISHED_GOODS,SUB-BRAND,INCOGMEATO BURGERS,
FINISHED_GOODS,SUB-BRAND,INCOGMEATO CHICKEN,
FINISHED_GOODS,SUB-BRAND,INCOGMEATO CHICKEN TENDERS,
FINISHED_GOODS,SUB-BRAND,INCOGMEATO FROZEN BREAKFAST,
FINISHED_GOODS,SUB-BRAND,INCOGMEATO MEAL SOLUTIONS,
FINISHED_GOODS,SUB-BRAND,INCOGMEATO SAUSAGES,
FINISHED_GOODS,SUB-BRAND,JACKSON,
FINISHED_GOODS,SUB-BRAND,KASHI BARS ASSORTED,
FINISHED_GOODS,SUB-BRAND,KASHI BITES,
FINISHED_GOODS,SUB-BRAND,KASHI CEREAL BARS,
FINISHED_GOODS,SUB-BRAND,KASHI CHEWY BARS,
FINISHED_GOODS,SUB-BRAND,KASHI CRUNCHY BARS,
FINISHED_GOODS,SUB-BRAND,KASHI FRUIT PIECES,
FINISHED_GOODS,SUB-BRAND,KASHI LAYERED BARS,
FINISHED_GOODS,SUB-BRAND,KASHI SOFT BAKED SQUARE,
FINISHED_GOODS,SUB-BRAND,KASHI WAFFLES,
