CLASS_TYPE,CHAR_NAME,CHAR_VALUE,ABBREVIATION,INACTIVE
FINISHED_GOODS,SUB-FOOD_FORM,BARS,BARS,
FINISHED_GOODS,SUB-FOOD_FORM,BATTER,BTR,
FINISHED_GOODS,SUB-FOOD_FORM,BIG,BIG,
FINISHED_GOODS,SUB-FOOD_FORM,BISCUIT,BSCT,
FINISHED_GOODS,SUB-FOOD_FORM,BITES,BITES,
FINISHED_GOODS,SUB-FOOD_FORM,BOWL,BOWL,
FINISHED_GOODS,SUB-FOOD_FORM,BREAST,BRST,
FINISHED_GOODS,SUB-FOOD_FORM,BUDS,BUDS,
FINISHED_GOODS,SUB-FOOD_FORM,BULK,BULK,
FINISHED_GOODS,SUB-FOOD_FORM,BURGERS,BRGR,
FINISHED_GOODS,SUB-FOOD_FORM,CAKE,CAKE,
FINISHED_GOODS,SUB-FOOD_FORM,CHEWY,CHWY,
FINISHED_GOODS,SUB-FOOD_FORM,CHICKEN FRIES,CHK FRS,
FINISHED_GOODS,SUB-FOOD_FORM,CHICKEN PATTIES,CHK PATS,
FINISHED_GOODS,SUB-FOOD_FORM,CHICKEN TENDERS,CHK TNDR,
FINISHED_GOODS,SUB-FOOD_FORM,CHIPS,CHIPS,
FINISHED_GOODS,SUB-FOOD_FORM,CHOPLETS,CHPLT,
FINISHED_GOODS,SUB-FOOD_FORM,CLASSIC MINCE,CLSSC MNC,
FINISHED_GOODS,SUB-FOOD_FORM,CONE,CONE,
FINISHED_GOODS,SUB-FOOD_FORM,COOKIE,COOK,
FINISHED_GOODS,SUB-FOOD_FORM,CORN DOGS,CRN DGS,
FINISHED_GOODS,SUB-FOOD_FORM,CRACKER,CRKR,
FINISHED_GOODS,SUB-FOOD_FORM,CRISPS,CRISPS,
FINISHED_GOODS,SUB-FOOD_FORM,CRUMBLES,CRMLS,
FINISHED_GOODS,SUB-FOOD_FORM,CRUMBS,CRMBS,
FINISHED_GOODS,SUB-FOOD_FORM,CRUNCHD,CRNCHD,
FINISHED_GOODS,SUB-FOOD_FORM,CRUSHED,CRSHD,
FINISHED_GOODS,SUB-FOOD_FORM,CUP,CUP,
FINISHED_GOODS,SUB-FOOD_FORM,CUTLETS,CUTLT,
FINISHED_GOODS,SUB-FOOD_FORM,DICED CHIK,DIC CHIK,
FINISHED_GOODS,SUB-FOOD_FORM,DINNER SAUSAGE,DNR SSG,
FINISHED_GOODS,SUB-FOOD_FORM,DIPPERS,DIPPR,
FINISHED_GOODS,SUB-FOOD_FORM,ENCHILADAS,ENCHLD,
FINISHED_GOODS,SUB-FOOD_FORM,ENTREE,ENTR,
FINISHED_GOODS,SUB-FOOD_FORM,FALAFEL,FLFL,
FINISHED_GOODS,SUB-FOOD_FORM,FLAKES,FLKS,
FINISHED_GOODS,SUB-FOOD_FORM,FLTBRD BFAST SNDWCH,FLT BKT SND,
FINISHED_GOODS,SUB-FOOD_FORM,FOCACCIA,FCC,
FINISHED_GOODS,SUB-FOOD_FORM,FRENCH TOAST,FR TST,
FINISHED_GOODS,SUB-FOOD_FORM,FRENCH TOAST BITES,FR TST BITES,
FINISHED_GOODS,SUB-FOOD_FORM,FRENCH TOAST MINIS,FR TST MINIS,
FINISHED_GOODS,SUB-FOOD_FORM,FRENCH TOAST STICKS,FR TST STCKS,
FINISHED_GOODS,SUB-FOOD_FORM,FRI CHIK,FRI CHIK,
FINISHED_GOODS,SUB-FOOD_FORM,FROZEN DOUGH,FRZN DGH,
FINISHED_GOODS,SUB-FOOD_FORM,GRAIN FREE,GRN FR,
FINISHED_GOODS,SUB-FOOD_FORM,GRANOLA,GRNL,
FINISHED_GOODS,SUB-FOOD_FORM,GROOVES,GRVS,
FINISHED_GOODS,SUB-FOOD_FORM,GROUND,GRND,
FINISHED_GOODS,SUB-FOOD_FORM,HOT,HOT,
FINISHED_GOODS,SUB-FOOD_FORM,HOT DOGS,HOT DGS,
FINISHED_GOODS,SUB-FOOD_FORM,JAR,JAR,
FINISHED_GOODS,SUB-FOOD_FORM,LASAGNA,LASGN,
FINISHED_GOODS,SUB-FOOD_FORM,LAYER FRUIT BARS,LYR FRT BARS,
