T179_STUFE_LEVEL,T179_PRODH_NUM,T179T_VTEXT_DESC,INACTIVE,CHAR_VALUE
1,10,BREAKFAST FOODS,,
2,1010,CEREAL,,
3,101010,RTEC,,
5,10101000030023,APPLE JACKS BULK,,BULK
6,101010000300230001,APPLE JACKS BULK P1,,P1
6,101010000300230003,APPLE JACKS BULK P3,,P3
6,101010000300230004,APPLE JACKS BULK P4,,P4
6,101010000300230005,APPLE JACKS BULK P5,,P5
6,101010000300230006,APPLE JACKS BULK P6,,P6
5,10101000070015,COCOA KRISPIES MULTI SERVE CUP,,MULTI SERVE CUP
6,101010000700150001,COCOA KRISPIES MULTI SERVE CUP P1,,P1
6,101010000700150002,COCOA KRISPIES MULTI SERVE CUP P2,,P2
6,101010000700150003,COCOA KRISPIES MULTI SERVE CUP P3,,P3
6,101010000700150004,COCOA KRISPIES MULTI SERVE CUP P4,,P4
6,101010000700150005,COCOA KRISPIES MULTI SERVE CUP P5,,P5
6,101010000700150006,COCOA KRISPIES MULTI SERVE CUP P6,,P6
5,10101000090015,CORN FLAKES BULK,,BULK
6,101010000900150001,CORN FLAKES BULK P1,,P1
6,101010000900150002,CORN FLAKES BULK P2,,P2
6,101010000900150003,CORN FLAKES BULK P3,,P3
6,101010000900150004,CORN FLAKES BULK P4,,P4
6,101010000900150005,CORN FLAKES BULK P5,,P5
6,101010000900150006,CORN FLAKES BULK P6,,P6
5,10101000110007,CRACKLIN OAT BRAN SPECIAL PK,,SPECIAL PK
6,101010001100070001,CRACKLIN OAT BRAN SPECIAL PK P1,,P1
6,101010001100070002,CRACKLIN OAT BRAN SPECIAL PK P2,,P2
6,101010001100070003,CRACKLIN OAT BRAN SPECIAL PK P3,,P3
6,101010001100070004,CRACKLIN OAT BRAN SPECIAL PK P4,,P4
6,101010001100070005,CRACKLIN OAT BRAN SPECIAL PK P5,,P5
6,101010001100070006,CRACKLIN OAT BRAN SPECIAL PK P6,,P6
5,10101001880016,KRAVE CEREAL BULK,,BULK
6,101010018800160001,KRAVE CEREAL BULK P1,,P1
6,101010018800160002,KRAVE CEREAL BULK P2,,P2
6,101010018800160003,KRAVE CEREAL BULK P3,,P3
6,101010018800160004,KRAVE CEREAL BULK P4,,P4
6,101010018800160005,KRAVE CEREAL BULK P5,,P5
6,101010018800160006,KRAVE CEREAL BULK P6,,P6
4,1010100281,JOYBOL,,
5,10101002810001,JOYBOL XS,,XS
6,101010028100010001,JOYBOL XS P1,,P1
6,101010028100010002,JOYBOL XS P2,,P2
6,101010028100010003,JOYBOL XS P3,,P3
6,101010028100010004,JOYBOL XS P4,,P4
6,101010028100010005,JOYBOL XS P5,,P5
6,101010028100010006,JOYBOL XS P6,,P6
5,10101002810002,JOYBOL S,,S
6,101010028100020001,JOYBOL S P1,,P1
6,101010028100020002,JOYBOL S P2,,P2
6,101010028100020003,JOYBOL S P3,,P3
6,101010028100020004,JOYBOL S P4,,P4
6,101010028100020005,JOYBOL S P5,,P5
6,101010028100020006,JOYBOL S P6,,P6
